,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
3139,tm1121246,Code 8,MOVIE,"In Lincoln City, some inhabitants have extraordinary abilities. Most live below the poverty line, under the close surveillance of a heavily militarized police force. Connor, a construction worker with powers, involves with a criminal gang to help his ailing mother. (Based on the short film “Code 8,” 2016.)",2019,,99,"['scifi', 'action', 'crime', 'thriller', 'drama']","['CA', 'GB', 'US']",,tt6259380,6.1,39469.0,18.192999999999998,6.2
3141,tm447963,Fractured,MOVIE,"Driving cross-country, Ray and his wife and daughter stop at a highway rest area where his daughter falls and breaks her arm. After a frantic rush to the hospital and a clash with the check-in nurse, Ray is finally able to get her to a doctor. While the wife and daughter go downstairs for an MRI, Ray, exhausted, passes out in a chair in the lobby. Upon waking up, they have no record or knowledge of Ray's family ever being checked in.",2019,R,99,['thriller'],['US'],,tt4332232,6.4,72478.0,35.497,6.7
3144,ts304505,Love Is Blind,SHOW,"Singles who want to be loved for who they are, rather than what they look like, have signed up for a less conventional approach to modern dating.",2020,TV-MA,54,"['reality', 'romance']",['US'],5.0,tt11704040,6.1,7863.0,1.4,7.7
3145,ts103702,Young Wallander,SHOW,Follow recently graduated police officer Kurt Wallander as he investigates his first case.,2020,TV-MA,45,"['thriller', 'crime', 'drama']",['GB'],2.0,tt9359220,6.9,11377.0,72.638,7.1
3146,ts88577,Hollywood,SHOW,A group of aspiring actors and filmmakers in post-World War II Hollywood try to make it big — no matter the cost.,2020,TV-MA,50,"['drama', 'history']",['US'],1.0,tt9827854,7.5,36052.0,11.855,7.6
3147,ts85398,Our Planet,SHOW,Experience our planet's natural beauty and examine how climate change impacts all living creatures in this ambitious documentary of spectacular scope.,2019,TV-G,50,['documentation'],['GB'],1.0,tt9253866,9.3,42259.0,19.942,8.8
3148,ts91039,The Chef Show,SHOW,"Writer, director and food enthusiast Jon Favreau and chef Roy Choi explore food in and out of the kitchen with accomplished chefs and celebrity friends.",2019,TV-MA,31,['documentation'],['US'],2.0,tt10359446,8.2,5107.0,7.305,7.8
3149,ts257301,Big Timber,SHOW,"Big Timber follows the dangerous work of logger and sawmill owner Kevin Wenstob as he and his crew go to extremes to keep the family sawmill, and their way of life, alive.",2020,,48,['reality'],['CA'],2.0,tt13322572,6.6,705.0,19.64,7.0
3150,ts95997,Raising Dion,SHOW,A widowed single mom discovers that her son has super powers and tries to figure out how to raise him safely and responsibly.,2019,TV-G,43,"['scifi', 'drama']",['US'],2.0,tt7826108,7.1,14799.0,33.326,7.8
3152,tm983787,Ava,MOVIE,A black ops assassin is forced to fight for her own survival after a job goes dangerously wrong.,2020,R,96,"['thriller', 'crime', 'action', 'drama']",['US'],,tt8784956,5.4,54279.0,155.235,5.752999999999999
3153,tm840196,The Trial of the Chicago 7,MOVIE,What was supposed to be a peaceful protest turned into a violent clash with the police. What followed was one of the most notorious trials in history.,2020,R,130,"['drama', 'history', 'thriller']",['US'],,tt1070874,7.7,173103.0,15.07,7.8
