,Unnamed: 0,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,prop_female
656,1291,tm232953,Sleight,MOVIE,"A young street magician is left to take care of his little sister after his mother's passing and turns to drug dealing in the Los Angeles party scene to keep a roof over their heads. When he gets into trouble with his supplier, his sister is kidnapped and he is forced to rely on both his sleight of hand and brilliant mind to save her.",2016,R,89,"['drama', 'thriller', 'action', 'scifi', 'crime']",['US'],,tt4573516,5.9,8644.0,5.226,5.4,0.5
660,1299,tm233317,Pee-wee's Big Holiday,MOVIE,A fateful meeting with a mysterious stranger inspires Pee-wee Herman to take his first-ever holiday.,2016,PG,90,"['action', 'comedy', 'family']",['US'],,tt0837156,6.1,8064.0,10.884,6.2,0.4375
663,1307,ts36630,Dinotrux,SHOW,"Half dinosaur, half construction truck, full-on fun! Watch giant Ty Rux, his little buddy Revvit and the crew come face-to-face with evil D-Structs.",2015,TV-Y7,23,"['action', 'comedy', 'family', 'animation']",['US'],5.0,tt1396212,6.7,465.0,8.914,7.4,0.125
665,1310,tm221225,David Brent: Life on the Road,MOVIE,"A camera crew catches up with David Brent, the former star of the fictional British series, ""The Office"" as he now fancies himself a rockstar on the road.",2016,,96,"['comedy', 'music', 'action']",['GB'],,tt6852304,6.3,20005.0,8.871,6.135,0.2692307692307692
666,1311,ts39017,Dawn of the Croods,SHOW,"The world's first family is back for more laughs as they discover sports, sleepovers and other wonders in a world of exotic creatures and adventures. This 2D animated cartoon is based on the 3D animated feature film, ""The Croods"".",2015,TV-Y7,23,"['action', 'comedy', 'family', 'animation']",['US'],4.0,tt5193172,5.8,723.0,27.252,7.7,0.5
667,1312,ts11670,The Adventures of Puss in Boots,SHOW,"The world's greatest feline fighter, lover and milk connoisseur is back in this original series filled with daring adventures, great boots, and laugh-out-loud fun! The entire family will be entranced by Puss' fantastical CG world filled with new characters, exotic locations and mystical tales that make up the stuff of legends. There's nothing that can get in this celebrated swashbuckling kitty's way...except maybe a hairball.",2015,TV-Y7,23,"['comedy', 'family', 'animation', 'action', 'fantasy', 'western']",['US'],6.0,tt3807034,6.6,1726.0,22.766,6.9,0.5
670,1320,tm139194,Ratchet & Clank,MOVIE,"When the galaxy comes under the threat of a nefarious space captain, a mechanic and his newfound robot ally join an elite squad of combatants to save the universe.",2016,PG,94,"['animation', 'family', 'action', 'comedy', 'scifi', 'fantasy']","['CA', 'US']",,tt2865120,5.5,10919.0,22.825,5.8,0.23076923076923078
674,1325,tm233544,Marco Polo: One Hundred Eyes,MOVIE,Before he lost his sight. Before he pledged his service to Kublai Khan. Hundred Eyes saw what made him into the deadly assassin who trains Marco Polo.,2015,,28,"['action', 'drama', 'history']",['US'],,tt5235348,7.8,10742.0,6.475,7.3,0.4
680,1334,ts79799,Dragons: Race to the Edge,SHOW,"Unlock the secrets of the Dragon Eye and come face to face with more dragons than anyone has ever imagined as Hiccup, Toothless and the Dragon Riders soar to the edge of adventure.",2015,TV-Y7,22,"['scifi', 'family', 'animation', 'action', 'comedy', 'fantasy', 'drama']",['US'],6.0,tt4816058,8.2,6376.0,52.569,8.2,0.25
681,1335,tm233616,LEGO Marvel Super Heroes: Avengers Reassembled!,MOVIE,The Avengers are forced to “party” with Ultron when he seeks to disassemble the team by taking control of Iron Man’s armor and enact a nefarious scheme to take over the world.,2015,,22,"['family', 'animation', 'action', 'comedy', 'scifi']",['US'],,tt5371572,6.1,862.0,16.252,6.5,0.125
682,1336,tm244381,Marauders,MOVIE,An untraceable group of elite bank robbers is chased by a suicidal FBI agent who uncovers a deeper purpose behind the robbery-homicides.,2016,R,107,"['crime', 'thriller', 'action']",['CA'],,tt3963816,5.5,21929.0,17.087,5.8,0.4827586206896552
689,1350,tm240007,Sniper: Ghost Shooter,MOVIE,"Elite snipers Brandon Beckett and Richard Miller are tasked with protecting a gas pipeline from terrorists looking to make a statement. When battles with the enemy lead to snipers being killed by a ghost shooter who knows their exact location, tensions boil as a security breach is suspected. Is there someone working with the enemy on the inside? Is the mission a front for other activity? Is the Colonel pulling the strings?",2016,R,100,"['action', 'drama', 'war']",['US'],,,,,24.331,6.6,0.2222222222222222
696,1359,tm219173,Term Life,MOVIE,"If Nick Barrow can stay alive for 21 days, he'll die happy. Everyone Nick knows wants him dead; Mob bosses, contract killers, and dirty cops. Performing the last act of a desperate man, Nick takes out a million dollar insurance policy on himself, payable to his estranged daughter. The problem? The policy doesn't take effect for 21 days. Nick knows they'll be lucky to be alive for twenty-one hours.",2016,R,93,"['thriller', 'drama', 'action', 'crime']",['US'],,tt2978102,5.5,8030.0,16.084,5.9,0.4411764705882353
702,1367,ts35360,Inspector Gadget,SHOW,"When Dr. Claw returns, Inspector Gadget is brought out of retirement to defeat him again, now with Penny and Brain's open participation.",2015,TV-Y,22,"['action', 'scifi', 'animation', 'comedy', 'family']","['CA', 'US']",4.0,tt3910690,4.5,625.0,10.856,6.9,0.2
705,1370,ts38757,Kong: King of the Apes,SHOW,"Set in 2050, Kong becomes a wanted fugitive after wrecking havoc at Alcatraz Island’s Natural History and Marine Preserve. What most humans on the hunt for the formidable animal don’t realize, though, is that Kong was framed by an evil genius who plans to terrorize the world with an army of enormous robotic dinosaurs. As the only beast strong enough to save humanity from the mechanical dinos, Kong must rely on the help of three kids who know the truth about him.",2016,TV-Y7,21,"['animation', 'family', 'scifi', 'action', 'comedy']",['US'],2.0,tt5462936,5.8,331.0,13.218,6.5,0.2
708,1373,tm271070,The Warriors Gate,MOVIE,"After a mysterious chest opens a gateway through time, teen gamer Jack is transported to an ancient empire terrorized by a cruel barbarian king. Jack will need all of his gaming skills as he battles to defeat the barbarian, protect a beautiful princess, and somehow find his way back home.",2016,PG-13,108,"['action', 'family', 'fantasy', 'comedy', 'european']","['CN', 'FR', 'CA']",,tt4652532,5.4,5098.0,15.133,6.7,0.47058823529411764
711,1381,ts51368,Skylanders Academy,SHOW,"Follow the heroic adventures of the Skylanders team, a group of heroes with unique elemental skills and personalities who travel the vast Skylands universe, protecting it from evil-doers and showing the next wave of Academy cadets how to do things the “Skylander way.”",2016,TV-Y7,23,"['action', 'animation', 'comedy', 'family', 'fantasy']",['US'],3.0,tt5916218,6.5,760.0,14.848,6.1,0.0
714,1386,tm235405,Hyena Road,MOVIE,"Three different men, three different worlds, three different wars – all stand at the intersection of modern warfare – a murky world of fluid morality where all is not as it seems.",2015,R,120,"['drama', 'thriller', 'war', 'action']",['CA'],,tt4034452,6.5,7839.0,9.363,6.7,0.2
723,1404,tm225275,Riot,MOVIE,"Copper Jack Stone purposefully orchestrates a bank robbery in order to be thrown into prison with the notorious Russian kingpin Balam. Balam is more than just a mob criminal; he's a very cunning and dangerous lord who controls the police force from behind bars. Balam lives in prison as a cover for his real power, which is King of the city. His cell is a lavish private room built specifically for him, inaccessible to most in the depths of the prison structure. Even the warden fears venturing into his area of the prison. However, even surrounded by his loyal henchmen and guards in his sectioned off fortress, Balam doesn't know Jack is coming for him to avenge his family, who Balam murdered in cold blood. Balam is tough... but Jack is tougher.",2015,,88,['action'],['US'],,tt4642044,5.1,3369.0,12.429,5.8,0.5
726,1408,tm308241,Legends of the Hidden Temple,MOVIE,Three siblings who break away from a lackluster temple tour in a jungle finds themselves immersed in a real-life mission comprised of obstacles that they must complete in order to escape alive.,2016,PG,68,"['action', 'family']",['US'],,tt5333842,5.6,921.0,3.528,6.7,0.35714285714285715
727,1411,tm139870,Opening Night,MOVIE,A failed Broadway singer who now works as a production manager must save opening night on his new production by wrangling his eccentric cast and crew.,2016,,90,"['comedy', 'thriller', 'drama', 'crime', 'action']",['US'],,tt4156972,6.0,2662.0,7.809,5.9,0.41379310344827586
731,1421,tm266844,True Memoirs of an International Assassin,MOVIE,"After a publisher changes a writer's debut novel about a deadly assassin from fiction to nonfiction, the author finds himself thrust into the world of his lead character, and must take on the role of his character for his own survival.",2016,PG-13,98,"['action', 'comedy', 'crime']",['US'],,tt1542768,5.9,22891.0,16.152,5.8,0.21428571428571427
734,1434,ts53076,El Chema,SHOW,"Inspired by true events, This is the story of the most notorious drug kingpin the world had ever seen. A man known as El Chapo, the biggest international drug lord in history. The most important and influential man, in the history of Narcos. He changed the game with his spectacular escapes and innovative smuggling techniques.",2016,TV-MA,44,"['crime', 'action']",['US'],1.0,tt5730624,6.9,308.0,112.717,,0.2857142857142857
