,Unnamed: 0,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,prop_female
849,1749,ts53663,Workin' Moms,SHOW,"Four women juggle love, careers, and parenthood. They support, challenge, and try not to judge each other as life throws them curveballs. Whether it is an identity crisis, a huge job opportunity, postpartum depression, or an unplanned pregnancy – they face both the good and bad with grace and humour.",2017,TV-MA,23,"['comedy', 'drama']",['CA'],6.0,tt6143796,7.7,16488.0,23.833,7.9,0.0
850,1750,ts75097,Maniac,SHOW,"Two strangers are drawn to a mysterious pharmaceutical trial that will, they're assured, with no complications or side-effects whatsoever, solve all of their problems, permanently. Things do not go as planned.",2018,TV-MA,39,"['scifi', 'comedy', 'drama']",['US'],1.0,tt5580146,7.7,77069.0,14.064,7.4,0.2
853,1753,ts55982,Anne with an E,SHOW,"A coming-of-age story about an outsider who, against all odds and numerous challenges, fights for love and acceptance and for her place in the world. The series centers on a young orphaned girl in the late 1890’s, who, after an abusive childhood spent in orphanages and the homes of strangers, is mistakenly sent to live with an elderly woman and her aging brother. Over time, 13-year-old Anne will transform their lives and eventually the small town in which they live with her unique spirit, fierce intellect and brilliant imagination.",2017,TV-G,46,"['drama', 'family']",['CA'],3.0,tt5421602,8.7,52756.0,150.37,8.8,0.5
854,1754,tm244174,Okja,MOVIE,"A young girl named Mija risks everything to prevent a powerful, multi-national company from kidnapping her best friend - a massive animal named Okja.",2017,PG-13,122,"['scifi', 'fantasy', 'action', 'drama']","['KR', 'US']",,tt3967856,7.3,116305.0,25.911,7.415,0.25252525252525254
855,1755,ts76243,The End of the F***ing World,SHOW,"James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a darkly comedic road trip in search of her real father.",2017,TV-MA,21,"['drama', 'comedy', 'romance', 'thriller', 'crime']",['GB'],2.0,tt6257970,8.1,182217.0,50.694,8.2,0.5
857,1757,ts56969,Atypical,SHOW,"Sam, an 18-year-old on the autism spectrum, takes a funny, yet painful, journey of self-discovery for love and independence and upends his family.",2017,TV-14,31,"['comedy', 'drama']",['US'],4.0,tt6315640,8.3,81643.0,37.51300000000001,8.3,0.25
858,1758,tm288010,Final Score,MOVIE,"When a stadium is seized by a group of heavily armed criminals during a major sporting event, an ex-soldier must use all his military skills to save both the daughter of a fallen comrade and the huge crowd unaware of the danger.",2018,R,104,"['action', 'drama', 'thriller']","['GB', 'US']",,tt5254610,5.7,11967.0,17.410999999999998,6.1,0.5
859,1759,ts39015,A Series of Unfortunate Events,SHOW,"The orphaned Baudelaire children face trials, tribulations and the evil Count Olaf, all in their quest to uncover the secret of their parents' death.",2017,TV-PG,47,"['drama', 'action', 'comedy', 'family']",['US'],3.0,tt4834206,7.8,59959.0,55.144,7.345,0.16666666666666666
860,1760,ts81208,Charmed,SHOW,"Set in the fictional college town of Hilltowne, Charmed follows the lives of three sisters, Macy, Mel and Maggie Vera who, after the tragic death of their mother, discover they are three of the most powerful witches of all time.",2018,TV-14,40,"['drama', 'scifi', 'fantasy']",['US'],4.0,tt6394324,4.6,16533.0,92.694,7.427,0.3333333333333333
862,1763,ts58155,Alias Grace,SHOW,"Based on the true story of Grace Marks, a housemaid and immigrant from Ireland who was imprisoned in 1843, perhaps wrongly, for the murder of her employer Thomas Kinnear. Grace claims to have no memory of the murder yet the facts are irrefutable. A decade after, Dr. Simon Jordan tries to help Grace recall her past.",2017,TV-MA,44,"['drama', 'crime', 'history', 'thriller']",['CA'],1.0,tt1034007,7.7,32177.0,13.586,7.3,0.48
