,Unnamed: 0,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,prop_female
1405,3048,ts87248,In the Dark,SHOW,"Murphy is a flawed and irreverent woman who just happens to be blind and is the only “witness” to the murder of her drug-dealing friend, Tyson. When the police dismiss her story, she sets out with her dog, Pretzel, to find the killer while also managing her colorful dating life and the job she hates at Breaking Blind — the guide-dog school owned by her overprotective parents.",2019,TV-14,41,"['drama', 'comedy', 'action', 'crime', 'horror']",['US'],4.0,tt7772602,7.5,11409.0,39.136,7.9,0.2857142857142857
1412,3057,tm510203,A Call to Spy,MOVIE,"In the beginning of WWII, with Britain becoming desperate, Churchill orders his new spy agency - SOE - to recruit and train women as spies.",2019,PG-13,123,"['crime', 'drama', 'thriller', 'war', 'history']",['US'],,tt7698468,6.6,7091.0,11.78,6.8,0.5
1418,3064,ts82914,Dead to Me,SHOW,A hotheaded widow searching for the hit-and-run driver who mowed down her husband befriends an eccentric optimist who isn't quite what she seems.,2019,TV-MA,31,"['thriller', 'crime', 'drama', 'comedy']",['US'],2.0,tt8064302,8.0,74989.0,26.155,7.298999999999999,0.4
1423,3070,ts235655,Outer Banks,SHOW,"A tight-knit group of teens unearths a long-buried secret, setting off a chain of illicit events that takes them on an adventure they'll never forget.",2020,TV-MA,49,"['thriller', 'action', 'drama', 'romance', 'crime']",['US'],2.0,tt10293938,7.5,45815.0,39.319,8.555,0.5
1426,3073,ts221904,Unbelievable,SHOW,"A teenager is charged with lying about her rape allegation, but two determined investigative female detectives discover a far more sinister truth.",2019,TV-MA,48,"['drama', 'crime']",['US'],1.0,tt7909970,8.4,98384.0,20.378,8.1,0.3333333333333333
1428,3076,tm244149,The Irishman,MOVIE,"Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years.",2019,R,209,"['crime', 'drama', 'history', 'thriller']",['US'],,tt1302006,7.8,376379.0,21.075,7.6,0.27586206896551724
1432,3082,tm496322,Extraction,MOVIE,"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.",2020,R,116,"['crime', 'drama', 'action', 'thriller']",['US'],,tt8936646,6.7,196105.0,51.91,7.4,0.23214285714285715
1433,3083,ts224901,The Stranger,SHOW,A web of secrets sends family man Adam Price on a desperate quest to uncover the truth about the people closest to him.,2020,TV-MA,45,"['thriller', 'crime', 'drama']",['GB'],1.0,tt9698480,7.3,48298.0,11.603,7.4,0.16666666666666666
1435,3085,tm827638,Synchronic,MOVIE,"Two New Orleans paramedics' lives are ripped apart after they encounter a series of horrific deaths linked to a designer drug with bizarre, otherworldly effects.",2019,R,102,"['crime', 'drama', 'horror', 'scifi', 'thriller']",['US'],,tt9016974,6.2,29455.0,13.498,6.3,0.48
1438,3090,tm911973,Enola Holmes,MOVIE,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.",2020,PG-13,123,"['crime', 'drama', 'action']",['US'],,tt7846844,6.6,162511.0,22.461,7.3,0.3333333333333333
1445,3098,tm368699,The Devil All the Time,MOVIE,"In Knockemstiff, Ohio and its neighboring backwoods, sinister characters converge around young Arvin Russell as he fights the evil forces that threaten him and his family.",2020,R,138,"['crime', 'drama', 'thriller', 'horror']",['US'],,tt7395114,7.1,122321.0,22.872,7.3,0.24675324675324675
1449,3104,ts82913,When They See Us,SHOW,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park.,2019,TV-MA,74,"['drama', 'crime', 'history']",['US'],1.0,tt7137906,8.9,116560.0,20.965,8.2,0.45454545454545453
1450,3105,tm414584,Rambo: Last Blood,MOVIE,"After fighting his demons for decades, John Rambo now lives in peace on his family ranch in Arizona, but his rest is interrupted when Gabriela, the granddaughter of his housekeeper María, disappears after crossing the border into Mexico to meet her biological father. Rambo, who has become a true father figure for Gabriela over the years, undertakes a desperate and dangerous journey to find her.",2019,R,101,"['drama', 'action', 'crime', 'thriller', 'western']","['US', 'CN']",,tt1206885,6.1,96740.0,88.199,6.5,0.4423076923076923
1457,3112,tm239927,Official Secrets,MOVIE,The true story of British intelligence whistleblower Katharine Gun who—prior to the 2003 Iraq invasion—leaked a top-secret NSA memo exposing a joint US-UK illegal spying operation against members of the UN Security Council. The memo proposed blackmailing member states into voting for war.,2019,R,112,"['drama', 'thriller', 'history', 'crime', 'war', 'romance']","['GB', 'US']",,tt5431890,7.3,46901.0,13.217,7.249,0.49056603773584906
1461,3116,tm431321,21 Bridges,MOVIE,"An embattled NYPD detective, is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy. As the night unfolds, lines become blurred on who he is pursuing, and who is in pursuit of him.",2019,R,99,"['action', 'drama', 'crime', 'thriller']",['US'],,tt8688634,6.6,65845.0,29.285,6.7,0.38333333333333336
1464,3119,tm834851,I Care a Lot,MOVIE,A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.,2020,R,118,"['drama', 'thriller', 'comedy', 'crime']","['GB', 'US']",,tt9893250,6.3,129321.0,30.192,6.6,0.45
1465,3120,ts223210,Don't F**k with Cats: Hunting an Internet Killer,SHOW,A group of online justice seekers track down a guy who posted a video of him killing kittens.,2019,TV-MA,62,"['documentation', 'crime']",['GB'],1.0,tt11318602,8.0,51559.0,13.548,7.7,0.3333333333333333
1467,3122,tm827648,El Camino: A Breaking Bad Movie,MOVIE,"In the wake of his dramatic escape from captivity, Jesse Pinkman must come to terms with his past in order to forge some kind of future.",2019,R,123,"['crime', 'drama', 'thriller', 'action']",['US'],,tt9243946,7.3,216847.0,42.566,6.91,0.28125
1473,3129,ts90448,The Hateful Eight: Extended Version,SHOW,"Trapped at a stagecoach stop as a storm rages outside, two bounty hunters and an outlaw face a gallery of rogues. Features never-before-seen footage.",2019,TV-MA,53,"['crime', 'thriller', 'western', 'drama']",['US'],1.0,,,,1.96,10.0,0.16666666666666666
